mandante,visitante,resultado,gols_mandante,gols_visitante
cruzeiro,criciuma,cruzeiro,5,3
bahia,atletico pr,empate,1,1
corinthians,santos,empate,1,1
internacional,sao paulo,sao paulo,2,3
ponte preta,vasco,ponte preta,2,1
Portuguesa,flamengo,empate,0,0
coritiba,gremio,coritiba,4,0
fluminense,vitoria,vitoria,2,3
Nautico,goias,goias,0,2
sao paulo,Portuguesa,sao paulo,2,1
vasco,coritiba,vasco,2,1
atletico mineiro,Nautico,atletico mineiro,5,0
goias,botafogo,goias,1,0
gremio,bahia,empate,0,0
santos,cruzeiro,cruzeiro,0,1
vitoria,corinthians,empate,1,1
atletico pr,internacional,atletico pr,1,0
criciuma,ponte preta,empate,1,1
flamengo,fluminense,flamengo,1,0
bahia,atletico mineiro,empate,0,0
Portuguesa,coritiba,empate,0,0
flamengo,goias,empate,1,1
atletico pr,sao paulo,atletico pr,3,0
cruzeiro,gremio,cruzeiro,3,0
internacional,botafogo,internacional,2,1
ponte preta,vitoria,vitoria,0,3
corinthians,fluminense,corinthians,1,0
Nautico,criciuma,criciuma,0,1
vasco,santos,empate,2,2
goias,ponte preta,goias,2,0
gremio,vasco,gremio,1,0
botafogo,Portuguesa,empate,0,0
criciuma,atletico pr,criciuma,2,1
coritiba,corinthians,corinthians,0,1
sao paulo,flamengo,sao paulo,2,0
vitoria,cruzeiro,cruzeiro,1,3
santos,bahia,santos,3,0
atletico mineiro,internacional,atletico mineiro,2,1
fluminense,Nautico,fluminense,2,0
botafogo,atletico pr,botafogo,4,0
coritiba,criciuma,criciuma,1,2
corinthians,vasco,empate,0,0
cruzeiro,ponte preta,empate,2,2
fluminense,sao paulo,fluminense,2,1
vitoria,santos,vitoria,2,0
goias,internacional,goias,3,1
gremio,flamengo,gremio,2,1
Nautico,bahia,bahia,0,1
Portuguesa,atletico mineiro,Portuguesa,2,0
criciuma,vitoria,empate,1,1
vasco,cruzeiro,vasco,2,1
atletico mineiro,goias,atletico mineiro,4,1
atletico pr,Nautico,atletico pr,6,1
flamengo,corinthians,flamengo,1,0
ponte preta,gremio,empate,1,1
santos,fluminense,santos,1,0
bahia,Portuguesa,bahia,1,0
internacional,coritiba,empate,0,0
sao paulo,botafogo,empate,1,1
fluminense,atletico mineiro,empate,2,2
corinthians,internacional,empate,0,0
coritiba,botafogo,coritiba,2,1
criciuma,sao paulo,criciuma,1,0
cruzeiro,bahia,bahia,1,2
ponte preta,Portuguesa,Portuguesa,0,2
vasco,Nautico,vasco,2,0
vitoria,flamengo,vitoria,4,2
gremio,goias,gremio,1,0
santos,atletico pr,santos,2,1
flamengo,cruzeiro,empate,1,1
Nautico,corinthians,Nautico,1,0
atletico mineiro,vitoria,empate,2,2
atletico pr,vasco,atletico pr,5,1
bahia,fluminense,fluminense,1,2
botafogo,criciuma,botafogo,3,0
goias,santos,santos,0,3
internacional,ponte preta,empate,0,0
Portuguesa,gremio,empate,0,0
sao paulo,coritiba,coritiba,0,1
fluminense,figueirense,fluminense,3,0
internacional,vitoria,internacional,1,0
Chapecoense,coritiba,empate,0,0
bahia,cruzeiro,cruzeiro,1,2
sao paulo,botafogo,sao paulo,3,0
atletico pr,gremio,atletico pr,1,0
atletico mineiro,corinthians,empate,0,0
flamengo,goias,empate,0,0
santos,Sport,empate,1,1
criciuma,palmeiras,palmeiras,1,2
coritiba,santos,empate,0,0
palmeiras,fluminense,fluminense,0,1
vitoria,atletico pr,empate,2,2
cruzeiro,sao paulo,empate,1,1
botafogo,internacional,empate,2,2
corinthians,flamengo,corinthians,2,0
Sport,Chapecoense,Sport,2,1
figueirense,bahia,bahia,0,2
gremio,atletico mineiro,gremio,2,1
goias,criciuma,goias,1,0
atletico pr,cruzeiro,cruzeiro,2,3
santos,gremio,empate,0,0
sao paulo,coritiba,empate,2,2
fluminense,vitoria,vitoria,1,2
criciuma,figueirense,criciuma,1,0
flamengo,palmeiras,flamengo,4,2
bahia,botafogo,bahia,1,0
internacional,Sport,internacional,2,1
Chapecoense,corinthians,corinthians,0,1
atletico mineiro,goias,goias,0,1
palmeiras,goias,palmeiras,2,0
internacional,atletico pr,internacional,2,1
botafogo,criciuma,botafogo,6,0
atletico mineiro,cruzeiro,atletico mineiro,2,1
Chapecoense,gremio,gremio,1,2
fluminense,flamengo,fluminense,2,0
sao paulo,corinthians,empate,1,1
figueirense,santos,santos,0,2
coritiba,Sport,Sport,0,1
bahia,vitoria,empate,1,1
goias,botafogo,goias,2,0
cruzeiro,coritiba,cruzeiro,3,2
flamengo,sao paulo,sao paulo,0,2
gremio,fluminense,gremio,1,0
corinthians,figueirense,figueirense,0,1
atletico pr,Chapecoense,empate,1,1
criciuma,internacional,empate,0,0
vitoria,palmeiras,palmeiras,0,1
santos,atletico mineiro,atletico mineiro,1,2
flamengo,bahia,empate,1,1
coritiba,internacional,empate,1,1
cruzeiro,Sport,cruzeiro,2,0
criciuma,Chapecoense,criciuma,1,0
fluminense,sao paulo,fluminense,5,2
gremio,botafogo,gremio,2,1
corinthians,atletico pr,empate,1,1
goias,santos,empate,2,2
palmeiras,figueirense,palmeiras,1,0
vitoria,atletico mineiro,atletico mineiro,2,3
bahia,fluminense,fluminense,0,1
sao paulo,gremio,sao paulo,1,0
Sport,corinthians,corinthians,1,4
atletico pr,coritiba,atletico pr,2,0
figueirense,goias,goias,0,1
santos,flamengo,empate,0,0
internacional,cruzeiro,cruzeiro,1,3
botafogo,vitoria,empate,1,1
Chapecoense,palmeiras,Chapecoense,2,0
atletico mineiro,criciuma,empate,0,0
Sport,gremio,empate,0,0
criciuma,coritiba,criciuma,1,0
palmeiras,botafogo,botafogo,0,2
internacional,Chapecoense,internacional,2,0
goias,vitoria,empate,0,0
corinthians,cruzeiro,corinthians,1,0
atletico mineiro,fluminense,atletico mineiro,2,0
atletico pr,sao paulo,empate,2,2
flamengo,figueirense,empate,1,1
bahia,santos,santos,0,2
coritiba,goias,coritiba,3,0
sao paulo,atletico mineiro,sao paulo,2,1
vitoria,Sport,Sport,0,1
gremio,palmeiras,empate,0,0
Chapecoense,bahia,Chapecoense,2,1
cruzeiro,flamengo,cruzeiro,3,0
santos,criciuma,santos,2,0
fluminense,internacional,empate,1,1
figueirense,atletico pr,atletico pr,1,3
corinthians,botafogo,empate,1,1
Sport,bahia,Sport,1,0
gremio,goias,empate,0,0
Sport,botafogo,Sport,1,0
coritiba,figueirense,figueirense,0,2
flamengo,atletico pr,atletico pr,1,2
bahia,sao paulo,sao paulo,0,2
criciuma,fluminense,criciuma,3,2
santos,palmeiras,santos,2,0
corinthians,internacional,corinthians,2,1
cruzeiro,vitoria,cruzeiro,3,1
sao paulo,Chapecoense,Chapecoense,0,1
figueirense,gremio,gremio,0,1
atletico mineiro,bahia,empate,1,1
botafogo,coritiba,botafogo,1,0
palmeiras,cruzeiro,cruzeiro,1,2
internacional,flamengo,internacional,4,0
vitoria,corinthians,empate,0,0
atletico pr,criciuma,atletico pr,2,0
goias,Sport,empate,0,0
fluminense,santos,fluminense,1,0
cruzeiro,figueirense,cruzeiro,5,0
santos,Chapecoense,santos,3,0
criciuma,vitoria,vitoria,1,3
bahia,internacional,internacional,0,1
Sport,atletico mineiro,Sport,2,1
goias,sao paulo,goias,2,1
corinthians,palmeiras,corinthians,2,0
atletico pr,fluminense,fluminense,0,3
gremio,coritiba,coritiba,2,3
flamengo,botafogo,flamengo,1,0
botafogo,cruzeiro,empate,1,1
sao paulo,criciuma,empate,1,1
vitoria,gremio,vitoria,2,1
palmeiras,bahia,empate,1,1
Chapecoense,flamengo,Chapecoense,1,0
figueirense,Sport,figueirense,3,0
coritiba,corinthians,empate,0,0
fluminense,goias,fluminense,2,0
internacional,santos,internacional,1,0
atletico mineiro,atletico pr,atletico mineiro,3,1
Chapecoense,atletico mineiro,empate,1,1
criciuma,cruzeiro,empate,0,0
bahia,goias,bahia,1,0
fluminense,coritiba,empate,1,1
flamengo,Sport,flamengo,1,0
atletico pr,botafogo,atletico pr,2,0
santos,corinthians,corinthians,0,1
internacional,gremio,internacional,2,0
atletico mineiro,palmeiras,atletico mineiro,2,1
Chapecoense,figueirense,figueirense,0,1
sao paulo,vitoria,sao paulo,3,1
goias,internacional,internacional,0,1
corinthians,bahia,empate,1,1
gremio,criciuma,gremio,2,0
coritiba,flamengo,flamengo,0,1
cruzeiro,santos,cruzeiro,3,0
palmeiras,sao paulo,sao paulo,1,2
vitoria,Chapecoense,empate,0,0
botafogo,fluminense,botafogo,2,0
figueirense,atletico mineiro,empate,2,2
Sport,atletico pr,empate,1,1
Sport,palmeiras,Sport,2,1
figueirense,botafogo,figueirense,1,0
santos,atletico pr,santos,2,0
coritiba,vitoria,coritiba,2,0
bahia,criciuma,empate,0,0
Chapecoense,fluminense,Chapecoense,1,0
flamengo,atletico mineiro,flamengo,2,1
internacional,sao paulo,sao paulo,0,1
corinthians,goias,corinthians,5,2
cruzeiro,gremio,cruzeiro,1,0
atletico mineiro,internacional,atletico mineiro,1,0
botafogo,Chapecoense,botafogo,1,0
palmeiras,coritiba,palmeiras,1,0
gremio,corinthians,gremio,2,1
criciuma,flamengo,flamengo,0,2
vitoria,figueirense,figueirense,0,1
sao paulo,santos,sao paulo,2,1
fluminense,Sport,fluminense,4,0
atletico pr,bahia,empate,0,0
goias,cruzeiro,cruzeiro,0,1
cruzeiro,Chapecoense,cruzeiro,4,2
palmeiras,internacional,internacional,0,1
Sport,criciuma,Sport,2,0
coritiba,atletico mineiro,empate,0,0
botafogo,santos,botafogo,1,0
corinthians,fluminense,empate,1,1
figueirense,sao paulo,empate,1,1
gremio,bahia,gremio,1,0
goias,atletico pr,goias,3,1
vitoria,flamengo,flamengo,1,2
flamengo,gremio,gremio,0,1
santos,vitoria,santos,3,1
Chapecoense,goias,empate,0,0
criciuma,corinthians,empate,0,0
atletico mineiro,botafogo,atletico mineiro,1,0
sao paulo,Sport,sao paulo,2,0
fluminense,cruzeiro,empate,3,3
bahia,coritiba,empate,0,0
atletico pr,palmeiras,empate,1,1
internacional,figueirense,figueirense,2,3
gremio,atletico pr,gremio,1,0
palmeiras,criciuma,palmeiras,1,0
figueirense,fluminense,empate,1,1
Sport,santos,Sport,3,1
coritiba,Chapecoense,coritiba,3,0
goias,flamengo,goias,1,0
botafogo,sao paulo,sao paulo,2,4
vitoria,internacional,vitoria,2,0
corinthians,atletico mineiro,corinthians,1,0
cruzeiro,bahia,cruzeiro,2,1
fluminense,palmeiras,fluminense,3,0
Chapecoense,Sport,Chapecoense,3,1
santos,coritiba,santos,2,1
bahia,figueirense,bahia,3,0
flamengo,corinthians,flamengo,1,0
internacional,botafogo,internacional,2,0
sao paulo,cruzeiro,sao paulo,2,0
atletico pr,vitoria,atletico pr,2,0
atletico mineiro,gremio,empate,0,0
criciuma,goias,criciuma,1,0
vitoria,fluminense,vitoria,3,1
cruzeiro,atletico pr,cruzeiro,2,0
Sport,internacional,empate,0,0
figueirense,criciuma,empate,1,1
botafogo,bahia,bahia,2,3
coritiba,sao paulo,coritiba,3,1
palmeiras,flamengo,empate,2,2
corinthians,Chapecoense,empate,1,1
goias,atletico mineiro,atletico mineiro,2,3
gremio,santos,empate,0,0
atletico pr,internacional,internacional,0,1
criciuma,botafogo,empate,1,1
cruzeiro,atletico mineiro,atletico mineiro,2,3
vitoria,bahia,vitoria,2,1
flamengo,fluminense,empate,1,1
corinthians,sao paulo,corinthians,3,2
Sport,coritiba,Sport,1,0
goias,palmeiras,goias,6,0
gremio,Chapecoense,gremio,1,0
santos,figueirense,santos,3,1
internacional,criciuma,internacional,3,0
coritiba,cruzeiro,cruzeiro,1,2
Chapecoense,atletico pr,Chapecoense,3,0
bahia,Sport,bahia,1,0
figueirense,corinthians,figueirense,1,0
fluminense,gremio,empate,0,0
sao paulo,flamengo,empate,2,2
botafogo,goias,botafogo,1,0
palmeiras,vitoria,palmeiras,2,0
atletico mineiro,santos,atletico mineiro,3,2
Sport,cruzeiro,empate,0,0
Chapecoense,criciuma,empate,1,1
sao paulo,fluminense,fluminense,1,3
botafogo,gremio,gremio,0,2
bahia,flamengo,bahia,2,1
atletico pr,corinthians,atletico pr,1,0
atletico mineiro,vitoria,atletico mineiro,2,0
santos,goias,santos,2,0
figueirense,palmeiras,figueirense,3,1
internacional,coritiba,internacional,4,2
palmeiras,Chapecoense,palmeiras,4,2
flamengo,santos,santos,0,1
vitoria,botafogo,vitoria,2,1
fluminense,bahia,empate,1,1
gremio,sao paulo,sao paulo,0,1
coritiba,atletico pr,coritiba,1,0
criciuma,atletico mineiro,criciuma,3,1
corinthians,Sport,corinthians,3,0
cruzeiro,internacional,cruzeiro,2,1
goias,figueirense,goias,1,0
sao paulo,atletico pr,sao paulo,1,0
botafogo,palmeiras,palmeiras,0,1
coritiba,criciuma,coritiba,1,0
vitoria,goias,empate,2,2
gremio,Sport,gremio,2,0
cruzeiro,corinthians,corinthians,0,1
figueirense,flamengo,flamengo,1,2
fluminense,atletico mineiro,empate,0,0
santos,bahia,santos,1,0
Chapecoense,internacional,Chapecoense,5,0
botafogo,corinthians,botafogo,1,0
goias,coritiba,goias,3,0
palmeiras,gremio,palmeiras,2,1
flamengo,cruzeiro,flamengo,3,0
bahia,Chapecoense,Chapecoense,0,1
internacional,fluminense,internacional,2,1
atletico mineiro,sao paulo,atletico mineiro,1,0
atletico pr,figueirense,atletico pr,3,0
criciuma,santos,criciuma,3,0
Sport,vitoria,vitoria,1,2
goias,gremio,empate,0,0
sao paulo,bahia,sao paulo,2,1
fluminense,criciuma,fluminense,4,2
atletico mineiro,Chapecoense,atletico mineiro,1,0
atletico pr,flamengo,atletico pr,2,1
figueirense,coritiba,figueirense,4,0
internacional,corinthians,corinthians,1,2
palmeiras,santos,santos,1,3
botafogo,Sport,empate,1,1
vitoria,cruzeiro,cruzeiro,0,1
bahia,atletico mineiro,empate,1,1
cruzeiro,palmeiras,empate,1,1
corinthians,vitoria,corinthians,2,1
flamengo,internacional,flamengo,2,0
criciuma,atletico pr,atletico pr,0,1
gremio,figueirense,gremio,1,0
coritiba,botafogo,coritiba,2,0
santos,fluminense,fluminense,0,1
Chapecoense,sao paulo,empate,0,0
Sport,goias,goias,0,1
figueirense,cruzeiro,empate,1,1
fluminense,atletico pr,fluminense,2,1
palmeiras,corinthians,empate,1,1
vitoria,criciuma,vitoria,3,1
atletico mineiro,Sport,atletico mineiro,3,2
Chapecoense,santos,empate,1,1
coritiba,gremio,empate,1,1
internacional,bahia,internacional,2,0
botafogo,flamengo,botafogo,2,1
sao paulo,goias,sao paulo,3,0
gremio,vitoria,gremio,1,0
goias,fluminense,fluminense,0,2
corinthians,coritiba,empate,2,2
santos,internacional,internacional,1,2
Sport,figueirense,Sport,1,0
cruzeiro,botafogo,cruzeiro,2,1
criciuma,sao paulo,sao paulo,1,2
flamengo,Chapecoense,flamengo,3,0
atletico pr,atletico mineiro,atletico pr,1,0
bahia,palmeiras,palmeiras,0,1
coritiba,fluminense,coritiba,1,0
palmeiras,atletico mineiro,atletico mineiro,0,2
botafogo,atletico pr,atletico pr,0,2
Sport,flamengo,empate,2,2
vitoria,sao paulo,sao paulo,1,2
figueirense,Chapecoense,figueirense,1,0
gremio,internacional,gremio,4,1
cruzeiro,criciuma,cruzeiro,3,1
goias,bahia,goias,3,0
corinthians,santos,corinthians,1,0
sao paulo,internacional,empate,1,1
criciuma,gremio,gremio,0,3
fluminense,botafogo,fluminense,1,0
atletico pr,Sport,Sport,0,1
flamengo,coritiba,flamengo,3,2
internacional,goias,internacional,1,0
santos,cruzeiro,cruzeiro,0,1
bahia,corinthians,corinthians,1,2
atletico mineiro,figueirense,empate,1,1
Chapecoense,vitoria,vitoria,0,1
sao paulo,palmeiras,sao paulo,2,0
atletico pr,santos,empate,1,1
botafogo,figueirense,figueirense,0,1
goias,corinthians,corinthians,0,1
vitoria,coritiba,empate,1,1
criciuma,bahia,bahia,0,1
atletico mineiro,flamengo,atletico mineiro,4,0
palmeiras,Sport,Sport,0,2
fluminense,Chapecoense,Chapecoense,1,4
gremio,cruzeiro,cruzeiro,1,2
internacional,atletico mineiro,internacional,2,1
bahia,atletico pr,atletico pr,1,2
flamengo,criciuma,empate,1,1
santos,sao paulo,sao paulo,0,1
Sport,fluminense,empate,2,2
cruzeiro,goias,cruzeiro,2,1
figueirense,vitoria,figueirense,2,0
Chapecoense,botafogo,Chapecoense,2,0
corinthians,gremio,corinthians,1,0
coritiba,palmeiras,coritiba,2,0
criciuma,Sport,empate,2,2
internacional,palmeiras,internacional,3,1
flamengo,vitoria,flamengo,4,0
fluminense,corinthians,fluminense,5,2
Chapecoense,cruzeiro,empate,1,1
santos,botafogo,santos,2,0
sao paulo,figueirense,empate,1,1
atletico pr,goias,atletico pr,1,0
atletico mineiro,coritiba,coritiba,1,2
bahia,gremio,bahia,1,0
corinthians,criciuma,corinthians,2,1
figueirense,internacional,internacional,1,2
botafogo,atletico mineiro,empate,0,0
gremio,flamengo,empate,1,1
goias,Chapecoense,goias,4,2
vitoria,santos,santos,0,1
Sport,sao paulo,Sport,1,0
coritiba,bahia,coritiba,3,2
palmeiras,atletico pr,empate,1,1
cruzeiro,fluminense,cruzeiro,2,1
Chapecoense,coritiba,Chapecoense,2,1
palmeiras,atletico mineiro,empate,2,2
fluminense,Joinville,fluminense,1,0
gremio,ponte preta,empate,3,3
cruzeiro,corinthians,corinthians,0,1
Sport,figueirense,Sport,4,1
atletico pr,internacional,atletico pr,3,0
sao paulo,flamengo,sao paulo,2,1
vasco,goias,empate,0,0
Avai,santos,empate,1,1
goias,atletico pr,goias,2,0
coritiba,gremio,coritiba,2,0
corinthians,Chapecoense,corinthians,1,0
figueirense,vasco,empate,0,0
atletico mineiro,fluminense,atletico mineiro,4,1
flamengo,Sport,empate,2,2
santos,cruzeiro,santos,1,0
internacional,Avai,internacional,1,0
Joinville,palmeiras,empate,0,0
ponte preta,sao paulo,ponte preta,1,0
vasco,internacional,empate,1,1
sao paulo,Joinville,sao paulo,3,0
gremio,figueirense,gremio,1,0
palmeiras,goias,goias,0,1
Chapecoense,santos,Chapecoense,1,0
atletico pr,atletico mineiro,atletico pr,1,0
fluminense,corinthians,empate,0,0
Avai,flamengo,Avai,2,1
cruzeiro,ponte preta,empate,1,1
Sport,coritiba,Sport,1,0
ponte preta,Chapecoense,ponte preta,3,1
coritiba,Avai,Avai,1,2
Joinville,atletico pr,atletico pr,1,2
santos,Sport,empate,2,2
atletico mineiro,vasco,atletico mineiro,3,0
goias,gremio,empate,1,1
internacional,sao paulo,empate,0,0
corinthians,palmeiras,palmeiras,0,2
flamengo,fluminense,fluminense,2,3
figueirense,cruzeiro,figueirense,2,1
atletico pr,figueirense,atletico pr,1,0
vasco,ponte preta,ponte preta,0,3
Chapecoense,Joinville,Chapecoense,2,0
sao paulo,santos,sao paulo,3,2
gremio,corinthians,gremio,3,1
Avai,atletico mineiro,atletico mineiro,1,4
cruzeiro,flamengo,cruzeiro,1,0
fluminense,coritiba,fluminense,2,0
Sport,goias,Sport,1,0
palmeiras,internacional,empate,1,1
flamengo,Chapecoense,flamengo,1,0
atletico mineiro,cruzeiro,cruzeiro,1,3
santos,ponte preta,empate,2,2
Joinville,corinthians,corinthians,0,1
atletico pr,vasco,atletico pr,2,0
sao paulo,gremio,sao paulo,2,0
internacional,coritiba,internacional,2,0
goias,Avai,Avai,0,1
fluminense,Sport,empate,0,0
figueirense,palmeiras,figueirense,2,1
atletico mineiro,santos,empate,2,2
corinthians,internacional,corinthians,2,1
Chapecoense,sao paulo,sao paulo,0,1
coritiba,flamengo,flamengo,0,1
Sport,Joinville,Sport,2,1
vasco,cruzeiro,cruzeiro,1,3
ponte preta,goias,empate,0,0
palmeiras,fluminense,palmeiras,2,1
Avai,figueirense,empate,1,1
gremio,atletico pr,gremio,2,1
figueirense,internacional,empate,0,0
Sport,vasco,Sport,2,1
flamengo,atletico mineiro,atletico mineiro,0,2
santos,corinthians,santos,1,0
gremio,palmeiras,gremio,1,0
cruzeiro,Chapecoense,Chapecoense,0,1
Joinville,goias,Joinville,2,1
sao paulo,Avai,empate,1,1
atletico pr,coritiba,empate,2,2
fluminense,ponte preta,fluminense,2,0
Avai,gremio,gremio,1,2
Chapecoense,Sport,empate,1,1
corinthians,figueirense,corinthians,2,1
atletico mineiro,Joinville,atletico mineiro,1,0
palmeiras,sao paulo,palmeiras,4,0
goias,fluminense,fluminense,1,2
ponte preta,atletico pr,ponte preta,2,1
coritiba,cruzeiro,coritiba,1,0
vasco,flamengo,vasco,1,0
internacional,santos,internacional,1,0
Sport,internacional,Sport,3,0
vasco,Avai,vasco,1,0
palmeiras,Chapecoense,palmeiras,2,0
atletico mineiro,coritiba,atletico mineiro,2,0
gremio,cruzeiro,gremio,1,0
Joinville,flamengo,flamengo,0,1
atletico pr,sao paulo,atletico pr,2,1
figueirense,goias,figueirense,3,1
corinthians,ponte preta,corinthians,2,0
fluminense,santos,fluminense,2,1
coritiba,Joinville,empate,0,0
cruzeiro,atletico pr,cruzeiro,2,0
Chapecoense,vasco,Chapecoense,1,0
Avai,Sport,empate,2,2
goias,corinthians,empate,0,0
santos,gremio,gremio,1,3
sao paulo,fluminense,empate,0,0
ponte preta,palmeiras,palmeiras,0,2
flamengo,figueirense,figueirense,1,2
internacional,atletico mineiro,atletico mineiro,1,3
goias,santos,goias,4,1
Chapecoense,gremio,Chapecoense,1,0
coritiba,ponte preta,empate,0,0
palmeiras,Avai,palmeiras,3,0
figueirense,Joinville,Joinville,0,2
atletico mineiro,Sport,atletico mineiro,2,1
internacional,flamengo,flamengo,1,2
vasco,sao paulo,sao paulo,0,4
corinthians,atletico pr,corinthians,2,0
fluminense,cruzeiro,fluminense,1,0
santos,figueirense,santos,3,0
gremio,vasco,gremio,2,0
ponte preta,atletico mineiro,atletico mineiro,0,2
sao paulo,coritiba,sao paulo,3,1
flamengo,corinthians,corinthians,0,3
Joinville,internacional,internacional,0,2
atletico pr,fluminense,fluminense,1,2
cruzeiro,goias,cruzeiro,1,0
Sport,palmeiras,empate,2,2
Avai,Chapecoense,Avai,2,1
internacional,goias,internacional,2,1
flamengo,gremio,flamengo,1,0
corinthians,atletico mineiro,corinthians,1,0
atletico pr,Chapecoense,atletico pr,1,0
figueirense,coritiba,empate,0,0
fluminense,vasco,vasco,1,2
palmeiras,santos,palmeiras,1,0
Sport,sao paulo,Sport,2,0
cruzeiro,Avai,empate,1,1
Joinville,ponte preta,empate,1,1
Avai,atletico pr,atletico pr,1,2
gremio,Sport,empate,1,1
atletico mineiro,figueirense,atletico mineiro,1,0
santos,Joinville,santos,2,0
Chapecoense,fluminense,Chapecoense,2,1
ponte preta,internacional,empate,0,0
goias,flamengo,flamengo,0,1
coritiba,corinthians,empate,1,1
sao paulo,cruzeiro,sao paulo,1,0
vasco,palmeiras,palmeiras,1,4
corinthians,vasco,corinthians,3,0
atletico mineiro,sao paulo,atletico mineiro,3,1
fluminense,gremio,fluminense,1,0
palmeiras,atletico pr,atletico pr,0,1
coritiba,goias,empate,1,1
Joinville,Avai,Joinville,2,0
internacional,Chapecoense,empate,0,0
figueirense,ponte preta,figueirense,3,1
flamengo,santos,empate,2,2
Sport,cruzeiro,empate,0,0
Avai,fluminense,Avai,1,0
santos,coritiba,santos,3,0
atletico pr,Sport,empate,1,1
vasco,Joinville,empate,0,0
ponte preta,flamengo,ponte preta,1,0
cruzeiro,palmeiras,cruzeiro,2,1
goias,atletico mineiro,empate,0,0
sao paulo,corinthians,empate,1,1
gremio,internacional,gremio,5,0
Chapecoense,figueirense,empate,2,2
flamengo,atletico pr,flamengo,3,2
coritiba,palmeiras,coritiba,2,1
santos,vasco,santos,1,0
goias,Chapecoense,empate,0,0
figueirense,sao paulo,sao paulo,0,2
internacional,fluminense,internacional,1,0
corinthians,Sport,corinthians,4,3
ponte preta,Avai,ponte preta,2,0
atletico mineiro,gremio,gremio,0,2
Joinville,cruzeiro,Joinville,3,0
vasco,coritiba,coritiba,0,1
atletico pr,santos,empate,0,0
sao paulo,goias,goias,0,3
palmeiras,flamengo,palmeiras,4,2
fluminense,figueirense,fluminense,2,1
cruzeiro,internacional,empate,0,0
Sport,ponte preta,empate,1,1
Avai,corinthians,corinthians,1,2
gremio,Joinville,gremio,2,1
Chapecoense,atletico mineiro,Chapecoense,2,1
goias,vasco,goias,3,0
santos,Avai,santos,5,2
figueirense,Sport,figueirense,2,1
coritiba,Chapecoense,coritiba,1,0
ponte preta,gremio,empate,0,0
Joinville,fluminense,Joinville,2,1
internacional,atletico pr,internacional,2,0
corinthians,cruzeiro,corinthians,3,0
flamengo,sao paulo,flamengo,2,1
atletico mineiro,palmeiras,atletico mineiro,2,1
vasco,figueirense,figueirense,0,1
sao paulo,ponte preta,sao paulo,3,0
gremio,coritiba,empate,0,0
Avai,internacional,Avai,3,0
palmeiras,Joinville,palmeiras,3,2
fluminense,atletico mineiro,atletico mineiro,1,2
Sport,flamengo,flamengo,0,1
Chapecoense,corinthians,corinthians,1,3
cruzeiro,santos,santos,0,1
atletico pr,goias,atletico pr,3,0
ponte preta,cruzeiro,cruzeiro,1,2
internacional,vasco,internacional,6,0
Joinville,sao paulo,empate,0,0
atletico mineiro,atletico pr,atletico pr,0,1
flamengo,Avai,flamengo,3,0
goias,palmeiras,goias,1,0
corinthians,fluminense,corinthians,2,0
coritiba,Sport,empate,0,0
santos,Chapecoense,santos,3,1
figueirense,gremio,gremio,0,2
sao paulo,internacional,sao paulo,2,0
vasco,atletico mineiro,atletico mineiro,1,2
atletico pr,Joinville,empate,0,0
cruzeiro,figueirense,cruzeiro,5,1
Chapecoense,ponte preta,empate,0,0
gremio,goias,gremio,2,1
palmeiras,corinthians,empate,3,3
fluminense,flamengo,flamengo,1,3
Avai,coritiba,coritiba,0,2
Sport,santos,empate,1,1
ponte preta,vasco,vasco,0,1
atletico mineiro,Avai,atletico mineiro,2,0
internacional,palmeiras,internacional,1,0
figueirense,atletico pr,empate,1,1
santos,sao paulo,santos,3,0
corinthians,gremio,empate,1,1
coritiba,fluminense,empate,1,1
goias,Sport,goias,1,0
Joinville,Chapecoense,empate,0,0
flamengo,cruzeiro,flamengo,2,0
coritiba,internacional,internacional,0,1
palmeiras,figueirense,palmeiras,2,0
corinthians,Joinville,corinthians,3,0
ponte preta,santos,ponte preta,3,1
cruzeiro,atletico mineiro,empate,1,1
gremio,sao paulo,sao paulo,1,2
Chapecoense,flamengo,flamengo,1,3
vasco,atletico pr,vasco,2,0
Sport,fluminense,Sport,1,0
Avai,goias,Avai,2,1
goias,ponte preta,ponte preta,1,2
Joinville,Sport,empate,1,1
fluminense,palmeiras,palmeiras,1,4
atletico pr,gremio,gremio,1,2
figueirense,Avai,Avai,0,1
santos,atletico mineiro,santos,4,0
internacional,corinthians,internacional,2,1
cruzeiro,vasco,empate,2,2
sao paulo,Chapecoense,empate,0,0
flamengo,coritiba,coritiba,0,2
internacional,figueirense,empate,1,1
palmeiras,gremio,palmeiras,3,2
ponte preta,fluminense,ponte preta,3,1
goias,Joinville,goias,3,0
corinthians,santos,corinthians,2,0
atletico mineiro,flamengo,atletico mineiro,4,1
vasco,Sport,vasco,2,1
Avai,sao paulo,Avai,2,1
coritiba,atletico pr,coritiba,2,0
Chapecoense,cruzeiro,cruzeiro,0,2
fluminense,goias,fluminense,2,0
gremio,Avai,gremio,3,1
atletico pr,ponte preta,ponte preta,1,2
santos,internacional,santos,3,1
flamengo,vasco,vasco,1,2
Joinville,atletico mineiro,empate,2,2
figueirense,corinthians,corinthians,1,3
sao paulo,palmeiras,empate,1,1
Sport,Chapecoense,Sport,3,0
cruzeiro,coritiba,cruzeiro,2,0
internacional,Sport,internacional,2,1
coritiba,atletico mineiro,atletico mineiro,0,3
